tray_id,total_cells,defective_cells,defect_rate
TRAY-2525,24,1,4.166666666666666
TRAY-2526,21,1,4.761904761904762
TRAY-2539,22,1,4.545454545454546
TRAY-2541,22,9,40.909090909090914
TRAY-2542,25,11,44.0
TRAY-2543,25,11,44.0
TRAY-2544,24,4,16.666666666666664
TRAY-2552,25,1,4.0
TRAY-2553,15,5,33.33333333333333
TRAY-2555,25,5,20.0
TRAY-2587,25,1,4.0
TRAY-2594,16,1,6.25
TRAY-2595,25,1,4.0
TRAY-2621,25,1,4.0
TRAY-2631,25,2,8.0
TRAY-2646,25,2,8.0
TRAY-2652,25,2,8.0
TRAY-2659,25,1,4.0
TRAY-2699,25,1,4.0
TRAY-2711,25,1,4.0
TRAY-2732,25,3,12.0
TRAY-2735,25,2,8.0
TRAY-2740,25,2,8.0
TRAY-2750,25,1,4.0
TRAY-2758,24,1,4.166666666666666
TRAY-2761,25,1,4.0
TRAY-2763,25,2,8.0
TRAY-2768,25,1,4.0
TRAY-2772,25,2,8.0
TRAY-2787,21,3,14.285714285714285
TRAY-2788,24,6,25.0
TRAY-2789,25,3,12.0
TRAY-2790,24,1,4.166666666666666
TRAY-2791,25,5,20.0
